Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
168,LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,339342,363741,381267,435628,507070,569408,630399,647599
167,MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,247284,245332,350227,431896,557297,615239,676283,695168
50,MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,6639751,8948162,11882762,16216431,21731053,24850912,28225177,29611714
62,MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,4625141,6267369,9539665,11229387,14718422,16938942,19377061,20405317
45,MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,10306508,13215707,17517054,22945150,28717731,31068833,33199993,33938221
174,MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,123243,164887,224957,282507,361575,435582,514438,523787
59,MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,6153587,7372581,8945026,11239101,15529181,18112907,21224040,22593590
173,MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,315414,333587,365392,399212,418755,456579,515357,533286
215,MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0,23969,31988,46047,54224,53416,49410,43413,41569
180,MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0,326428,333786,374271,432543,392181,383515,370391,367507
126,MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1122198,1506694,2006027,2695003,3419461,3946220,4498604,4736139
157,MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,830115,954865,1090290,1215930,1283330,1293153,1297828,1299469
182,MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0,35383,52233,92659,159215,211786,249545,305587,326101
10,MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,50289306,67705186,81720428,97873442,112532401,120149897,125998302,127504125
194,FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0,58989,76299,98603,111709,107588,109462,112106,114164
135,MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,3711140,4103240,4480199,4251573,3678186,3277388,3084847,3272996
217,MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0,24270,27076,30329,32465,33178,36760,36922,36469
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1293880,1697780,2161433,2450979,2702520,2964749,3294335,3398366
169,MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,530268,589324,621442,633324,631044,633966,629048,627082
230,MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0,11402,11452,10805,5138,4938,5059,4500,4390
40,MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,15274351,19678444,24570814,28554415,32464865,34680458,36688772,37457971
